Date,Total_Cases,Total_Deaths,Total_Hospitalizations,Cases_Ages_0to17,Cases_Ages_18to29,Cases_Ages_30to39,Cases_Ages_40to49,Cases_Ages_50to59,Cases_Ages_60to69,Cases_Ages_70to79,Cases_Age_80andAbove,Cases_Ages_Unknown,Cases_Female,Cases_Male,Cases_Unknown_Gender,Cases_Latinx,Cases_Asian_NonLatinx,Cases_Black_NonLatinx,Cases_White_NonLatinx,Cases_OtherRace_NonLatinx,Cases_UnknownRace_Ethnicity,Deaths_Ages_0to17,Deaths_Ages_18to29,Deaths_Ages_30to39,Deaths_Ages_40to49,Deaths_Ages_50to59,Deaths_Ages_60to69,Deaths_Ages_70to79,Deaths_Ages_80+,Deaths_Ages_Unknown,Deaths_Female,Deaths_Male,Deaths_Unknown_Gender,Deaths_Latinx,Deaths_Asian_NonLatinx,Deaths_Black_NonLatinx,Deaths_White_NonLatinx,Deaths_OtherRace_NonLatinx,Deaths_UnknownRace_Ethnicity,Hospitalizations_Ages_0to17,Hospitalizations_Ages_18to29,Hospitalizations_Ages_30to39,Hospitalizations_Ages_40to49,Hospitalizations_Ages_50to59,Hospitalizations_Ages_60to69,Hospitalizations_Ages_70to79,Hospitalizations_Ages_80+,Hospitalizations_Ages_Unknown,Hospitalizations_Female,Hospitalizations_Male,Hospitalizations_Unknown_Gender,Hospitalizations_Latinx,Hospitalizations_Asian_NonLatinx,Hospitalizations_Black_NonLatinx,Hospitalizations_White_NonLatinx,Hospitalizations_Other_Race NonLatinx,Hospitalizations_UnknownRace_Ethnicity
8/4/2020,369,2,32,50,105,69,53,39,33,16,4,0,201,164,4,176,9,77,77,15,15,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,4,2,6,3,8,7,2,0,18,14,0,9,3,15,5,0,0
5/1/2021,352,4,59,63,71,67,58,41,36,11,5,0,184,168,0,71,18,155,73,4,31,0,0,0,0,0,0,1,3,0,1,3,0,2,0,2,0,0,0,4,9,10,11,10,9,4,2,0,34,25,0,12,0,38,8,1,0
2/14/2021,142,9,23,21,38,29,19,17,4,12,2,0,74,68,0,32,8,27,52,7,16,0,0,0,0,0,2,3,4,0,4,5,0,2,0,3,4,0,0,1,3,4,0,4,5,4,2,0,12,11,0,8,0,10,5,0,0
1/2/2021,1114,21,63,126,277,210,191,147,86,51,26,0,590,522,2,462,36,162,315,55,84,0,1,0,1,1,3,6,9,0,4,17,0,7,3,5,6,0,0,1,6,5,7,10,14,11,9,0,26,37,0,15,3,28,14,3,0
3/8/2022,162,2,13,42,39,24,15,15,12,11,4,0,88,69,5,31,12,24,65,10,20,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,1,0,3,0,1,1,5,2,0,7,6,0,3,1,5,4,0,0
7/10/2021,49,0,5,7,12,16,8,2,1,3,0,0,24,25,0,8,2,12,20,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,3,2,0,0,0,3,1,0,1
1/22/2021,737,12,51,102,172,144,116,98,61,30,14,0,388,349,0,262,31,160,180,33,71,0,0,0,0,2,4,4,2,0,5,7,0,4,0,4,4,0,0,2,2,7,8,6,12,7,7,0,17,34,0,15,1,23,9,3,0
10/14/2021,361,1,35,79,79,77,47,36,28,11,4,0,218,143,0,60,18,89,129,15,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3,5,3,8,9,3,3,0,22,13,0,11,2,12,10,0,0
11/1/2020,733,6,74,77,184,152,114,96,52,36,22,0,394,339,0,203,40,117,261,28,84,0,0,0,0,0,3,1,2,0,3,3,0,2,0,3,1,0,0,2,7,3,7,6,14,20,15,0,34,40,0,27,2,26,16,3,0
4/12/2021,865,5,59,139,204,185,144,95,60,29,9,0,425,440,0,235,21,311,198,19,81,0,0,0,0,3,1,0,1,0,0,5,0,2,0,2,1,0,0,2,5,4,8,12,7,14,7,0,27,32,0,16,0,30,11,2,0
12/9/2021,1307,8,77,286,325,288,172,137,60,27,12,0,652,650,5,216,34,338,330,118,271,0,0,1,0,1,3,2,1,0,6,2,0,0,0,7,1,0,0,2,8,11,5,16,14,15,6,0,38,39,0,17,1,30,26,2,1
9/6/2021,281,4,26,71,67,53,41,17,21,7,4,0,140,141,0,57,10,82,85,8,39,0,0,1,0,0,0,3,0,0,2,2,0,1,0,2,1,0,0,3,3,3,1,5,8,0,3,0,16,10,0,5,1,15,3,0,2
9/9/2021,519,4,39,116,142,106,53,46,33,14,9,0,277,242,0,86,16,140,160,32,85,0,0,0,0,0,1,3,0,0,1,3,0,1,0,0,2,0,1,2,4,6,7,1,6,5,8,0,19,20,0,7,0,22,9,1,0
11/29/2021,1469,7,79,370,285,292,200,179,98,33,12,0,741,723,5,272,49,279,470,148,251,0,1,0,1,0,1,1,3,0,5,2,0,2,1,3,1,0,0,2,4,4,10,20,11,19,9,0,42,37,0,15,2,36,20,4,2
