Date,Total_Cases,Total_Deaths,Total_Hospitalizations,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Age_80andAbove,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Ages_80+,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Hospitalizations_Ages_0to17,Hospitalizations_Ages_18to29,Hospitalizations_Ages_30to39,Hospitalizations_Ages_40to49,Hospitalizations_Ages_50to59,Hospitalizations_Ages_60to69,Hospitalizations_Ages_70to79,Hospitalizations_Ages_80+,Hospitalizations_Ages_Unknown,Hospitalizations_Female,Hospitalizations_Male,Hospitalizations_Unknown_Gender,Hospitalizations_Latinx,Hospitalizations_Asian_NonLatinx,Hospitalizations_Black_NonLatinx,Hospitalizations_White_NonLatinx,Hospitalizations_Other_Race NonLatinx,Hospitalizations_UnknownRace_Ethnicity
7/17/2020,326,3,20,35,103,66,48,35,21,13,5,0,168,156,2,127,6,77,54,17,45,0,0,0,0,2,0,0,1,0,1,2,0,2,0,1,0,0,0,0,5,2,5,1,2,3,2,0,10,10,0,3,0,12,4,0,1
7/18/2020,132,4,12,13,37,25,21,19,9,5,3,0,61,71,0,41,1,42,20,5,23,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0,0,1,1,1,1,2,4,2,0,7,5,0,1,0,8,2,1,0
7/19/2020,100,2,16,14,27,23,9,14,6,6,1,0,53,46,1,26,2,32,25,3,12,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,2,1,1,4,5,1,1,1,0,9,7,0,1,0,11,3,0,1
7/20/2020,393,5,18,53,94,90,55,47,36,14,4,0,198,190,5,162,9,89,69,17,47,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,1,1,3,2,2,4,4,1,0,13,5,0,7,0,10,0,0,1
7/21/2020,291,1,30,25,83,57,55,31,23,8,9,0,144,147,0,91,3,90,52,18,37,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,5,6,2,5,4,5,0,14,16,0,7,1,14,6,0,2
7/22/2020,365,4,21,39,123,82,56,28,22,13,2,0,188,171,6,131,9,80,96,10,39,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,1,3,2,5,0,4,5,1,0,14,7,0,6,1,12,2,0,0
7/23/2020,319,3,26,33,101,68,43,36,17,12,9,0,190,128,1,92,14,81,75,14,43,0,0,0,1,0,0,2,0,0,2,1,0,1,0,2,0,0,0,0,3,6,2,5,3,5,2,0,13,13,0,13,1,8,3,1,0
7/24/2020,347,3,19,38,103,77,47,39,21,11,11,0,196,149,2,127,12,77,67,12,52,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,2,3,2,3,0,9,10,0,7,1,8,3,0,0
7/25/2020,156,8,17,29,34,33,25,16,7,9,3,0,79,77,0,59,7,32,32,8,18,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,3,1,4,3,3,0,10,7,0,2,0,10,4,1,0
7/26/2020,97,6,12,7,24,25,11,16,8,4,2,0,49,48,0,28,3,19,27,4,16,0,0,0,0,1,1,1,3,0,3,3,0,1,0,3,2,0,0,0,1,2,1,3,3,0,2,0,6,6,0,4,0,5,3,0,0
7/27/2020,362,1,16,51,102,66,50,40,30,14,9,0,193,166,3,173,11,81,51,9,37,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,2,2,4,0,2,4,0,7,9,0,4,3,6,2,0,1
7/28/2020,332,3,10,36,87,75,66,33,19,9,7,0,185,145,2,153,10,73,46,9,41,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1,2,4,1,0,0,1,1,0,8,2,0,4,0,5,1,0,0
7/29/2020,446,3,12,56,131,94,68,51,28,12,6,0,233,208,5,181,7,99,90,18,51,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,5,1,1,0,0,0,3,9,0,5,0,4,2,1,0
7/30/2020,341,3,14,49,78,80,49,49,25,7,4,0,174,166,1,155,11,73,59,6,37,0,0,0,1,0,0,1,1,0,2,1,0,2,0,1,0,0,0,2,1,1,2,2,1,4,1,0,8,6,0,5,1,5,3,0,0
7/31/2020,392,2,15,46,112,82,64,42,31,8,7,0,208,181,3,185,6,78,75,11,37,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,2,3,1,1,5,1,1,0,8,7,0,5,1,6,3,0,0
